ltf,order,closed,slow_ema,expected_profit,actual_profit,price,ask,name,symbol,htf,volume,deal,lcc,hcc,fast_ema,win,date,bid
TIMEFRAME_M1,861024584,False,20,0,0,1540.78,1541.23,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,131211190,100,100,8,False,2024-05-01 03:05:00.000000,1540.78
TIMEFRAME_M1,866309695,False,20,0,0,213923.36,213974.9,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,133444942,100,100,8,False,2024-05-01 03:05:00.000000,213923.36
TIMEFRAME_M1,805305638,False,20,0,0,2211.542,2211.694,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,195366233,100,100,8,False,2024-05-01 03:05:00.000000,2211.542
TIMEFRAME_M1,844729760,False,20,0,0,6266.49,6266.49,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,155697303,100,100,8,False,2024-05-01 03:05:00.000000,6266.316
TIMEFRAME_M1,806979451,False,20,0,0,214172.29,214223.83,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,172871751,100,100,8,False,2024-05-01 03:10:00.000000,214172.29
TIMEFRAME_M1,813811443,False,20,0,0,2211.066,2211.066,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,163694749,100,100,8,False,2024-05-01 03:10:00.000000,2210.914
TIMEFRAME_M1,831073106,False,20,0,0,6265.342,6265.342,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,185477161,100,100,8,False,2024-05-01 03:10:00.000000,6265.168
TIMEFRAME_M1,829862507,False,20,0,0,1551.68,1551.68,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,138687274,100,100,8,False,2024-05-01 03:10:00.000000,1551.23
TIMEFRAME_M1,888324304,False,20,0,0,214172.29,214223.83,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,154012973,100,100,8,False,2024-05-01 03:10:00.000000,214172.29
TIMEFRAME_M1,867385588,False,20,0,0,1551.23,1551.68,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,145713775,100,100,8,False,2024-05-01 03:10:00.000000,1551.23
TIMEFRAME_M1,885826282,False,20,0,0,2210.914,2211.066,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,176460465,100,100,8,False,2024-05-01 03:10:00.000000,2210.914
TIMEFRAME_M1,804619490,False,20,0,0,6265.342,6265.342,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,183673143,100,100,8,False,2024-05-01 03:10:00.000000,6265.168
TIMEFRAME_M1,860699330,False,20,0,0,6265.585,6265.585,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,168898765,100,100,8,False,2024-05-01 03:15:00.000000,6265.411
TIMEFRAME_M1,878293552,False,20,0,0,1540.46,1540.91,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,121029113,100,100,8,False,2024-05-01 03:15:00.000000,1540.46
TIMEFRAME_M1,893597174,False,20,0,0,2209.702,2209.702,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,141997904,100,100,8,False,2024-05-01 03:15:00.000000,2209.55
TIMEFRAME_M1,801369754,False,20,0,0,214474.87,214526.41,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,175951928,100,100,8,False,2024-05-01 03:15:00.000000,214474.87
TIMEFRAME_M1,813272064,False,20,0,0,6264.258,6264.258,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,174547006,100,100,8,False,2024-05-01 03:20:00.000000,6264.084
TIMEFRAME_M1,863654258,False,20,0,0,2210.9,2210.9,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,150719173,100,100,8,False,2024-05-01 03:20:00.000000,2210.748
